koi_score,koi_fwm_stat_sig,koi_srho_err2,koi_dor_err2,koi_dor_err1,koi_incl,koi_prad_err1,koi_count,koi_dor,koi_dikco_mdec_err,koi_period_err1,koi_period_err2,koi_dikco_mra_err,koi_prad_err2,koi_dikco_msky_err,koi_max_sngle_ev,koi_prad,koi_dicco_mdec_err,koi_model_snr,koi_dicco_mra_err,koi_disposition
1.0,0.0,-0.6637,-1.3,1.3,88.19,0.17,2,8.86,0.077,1.951e-06,-1.951e-06,0.077,-0.09,0.077,6.0310416,2.34,0.11,82.4,0.082,CONFIRMED
0.993,0.058,-6.85891,-14.4,14.4,87.62,1.4,2,28.8,0.56,1.617e-05,-1.617e-05,0.45,-0.71,0.56,3.2751372,19.45,0.64,13.7,0.46,CANDIDATE
0.871,0.858,-0.44479,-3.0,3.0,84.62,0.08,3,6.65,1.0,4.729e-05,-4.729e-05,0.66,-0.07,1.0,3.8943021,0.55,0.95,8.7,0.64,CANDIDATE
1.0,0.178,-0.02771,-11.8,11.8,88.62,0.21,1,28.2,0.08,1.407e-05,-1.407e-05,0.11,-0.29,0.086,11.461336,2.65,0.082,71.0,0.094,CONFIRMED
1.0,0.013,-0.07305,-3.0,3.0,88.03,1.5,1,11.37,0.075,3.726e-06,-3.726e-06,0.071,-0.81,0.075,20.537346,5.31,0.075,221.1,0.069,CONFIRMED
1.0,0.0,-0.01238,-2.9,2.9,85.29,1.05,1,6.66,0.069,4.677e-06,-4.677e-06,0.069,-0.37,0.069,24.639503,4.86,0.068,312.1,0.069,CONFIRMED
1.0,0.0,-2.11552,-4.1,4.1,89.97,0.1,2,55.02,0.14,4.145e-05,-4.145e-05,0.12,-0.12,0.13,6.437265,1.93,0.14,37.1,0.13,CONFIRMED
1.0,0.0,-12.19106,-22.7,22.7,89.22,0.1,2,45.9,0.22,1.49e-05,-1.49e-05,0.17,-0.12,0.21,5.446764,1.91,0.24,30.3,0.14,CONFIRMED
1.0,0.758,-0.09309,-6.3,6.3,86.13,0.54,1,13.07,0.16,3.932e-05,-3.932e-05,0.2,-0.23,0.18,5.6057496,2.66,0.16,35.8,0.2,CONFIRMED
0.998,0.012,-0.07087,-13.4,13.4,88.27,0.43,4,28.2,0.17,9.613e-05,-9.613e-05,0.24,-0.3,0.24,16.554466,2.87,0.18,83.7,0.22,CONFIRMED
0.0,0.0,-0.00331,-1.1,1.1,56.44,3.54,1,2.19,0.092,9.953e-06,-9.953e-06,0.086,-1.89,0.086,5.0937037,21.55,0.085,39.0,0.088,FALSE POSITIVE
0.773,0.0,-0.00473,-1.2,1.2,58.03,9.0,1,2.38,0.11,1.015e-06,-1.015e-06,0.083,-4.83,0.11,5.3061833,32.43,0.099,103.6,0.087,FALSE POSITIVE
1.0,0.0,-0.26031,-0.285,0.285,89.81,1.02,2,7.088,0.1,3.8e-06,-3.8e-06,0.11,-0.34,0.099,6.3430967,3.12,0.1,64.5,0.11,CONFIRMED
1.0,0.0,-0.26684,-0.696,0.696,89.95,1.09,2,14.003,0.14,1.553e-05,-1.553e-05,0.16,-0.36,0.14,6.1683164,3.32,0.14,51.5,0.16,CONFIRMED
,,-5.38392,-4.5,4.5,89.95,0.71,1,43.54,,0.0001643,-0.0001643,,-0.14,,,1.88,,11.2,,FALSE POSITIVE
1.0,0.046,-0.9968,-1.4,1.4,89.95,0.37,2,24.47,0.13,1.56e-05,-1.56e-05,0.089,-0.22,0.097,5.7419868,2.59,0.14,47.6,0.086,CONFIRMED
0.989,0.424,-1.75507,-3.4,3.4,89.94,0.34,2,93.71,0.27,0.0005043,-0.0005043,0.54,-0.2,0.29,6.335456,2.36,0.28,20.1,0.52,CONFIRMED
1.0,0.0,-0.09156,-4.8,4.8,88.17,2.2,1,17.27,0.074,6.65e-06,-6.65e-06,0.069,-0.73,0.07,31.536423,7.4,0.072,277.2,0.069,CONFIRMED
0.0,0.021,-0.01064,-1.2,1.2,58.99,8.01,1,2.46,0.1,7.41e-07,-7.41e-07,0.078,-8.0,0.1,10.709492,46.58,0.077,112.6,0.076,FALSE POSITIVE
0.0,0.0,-0.00897,-3.0,3.0,78.15,8.61,1,5.92,0.41,2.846e-05,-2.846e-05,0.23,-3.69,0.39,9.854863,28.59,0.58,38.2,0.2,FALSE POSITIVE
1.0,0.085,-0.39959,-1.2,1.2,88.28,0.29,1,7.93,0.11,5.073e-06,-5.073e-06,0.11,-0.28,0.11,4.680462,2.06,0.11,38.9,0.11,CONFIRMED
1.0,0.005,-0.25139,-7.5,7.5,86.84,0.46,1,15.21,0.096,9.537e-06,-9.537e-06,0.11,-0.15,0.11,6.5691905,2.77,0.089,50.8,0.11,CONFIRMED
0.0,0.0,-0.08172,-0.538,0.538,39.97,3.46,1,1.641,0.099,9.7e-08,-9.7e-08,0.11,-1.73,0.1,40.64358,27.51,0.095,299.7,0.18,FALSE POSITIVE
1.0,0.021,-0.02879,-0.528,0.528,85.87,2.17,1,12.776,0.072,6.188e-06,-6.188e-06,0.07,-0.72,0.072,27.099031,7.73,0.069,183.6,0.069,CANDIDATE
1.0,0.016,-2.34385,-12.6,12.6,89.21,0.13,4,40.4,0.14,5.839e-05,-5.839e-05,0.14,-0.16,0.14,7.1802754,1.96,0.14,35.2,0.14,CONFIRMED
1.0,0.006,-1.29928,-4.7,4.7,89.99,0.12,4,76.67,0.16,0.0002654,-0.0002654,0.17,-0.15,0.17,6.2605453,1.83,0.22,26.0,0.17,CONFIRMED
