toi,toipfx,st_tmag,st_dist,st_disterr1,st_disterr2,st_pmdecerr2,st_pmdecerr1,tfopwg_disp
1199.01,1199,10.4221,248.427,1.7795,-1.7795,-0.045,0.045,CP
120.01,120,7.1062,79.5702,0.17345,-0.17345,-0.041,0.041,CP
1200.01,1200,10.402,224.444,1.993,-1.993,-0.083,0.083,FP
1201.01,1201,10.9473,37.8871,0.0516,-0.0516,-0.063,0.063,CP
1202.01,1202,8.386,818.829,20.7165,-20.7165,-0.043,0.043,FP
1203.01,1203,7.9995,64.9943,0.18965,-0.18965,-0.05,0.05,CP
1204.01,1204,8.004,106.505,0.3725,-0.3725,-0.044,0.044,PC
1205.01,1205,8.3902,309.932,2.0765,-2.0765,-0.046,0.046,PC
1206.01,1206,8.6014,1698.55,92.265,-92.265,-0.041,0.041,FP
1207.01,1207,9.2397,113.758,0.3465,-0.3465,-0.044,0.044,PC
1208.01,1208,10.5924,134.757,0.3595,-0.3595,-0.037,0.037,PC
1208.02,1208,10.5924,134.757,0.3595,-0.3595,-0.037,0.037,PC
1208.03,1208,10.5924,134.757,0.3595,-0.3595,-0.037,0.037,PC
1209.01,1209,9.597,173.833,0.8615,-0.8615,-0.072,0.072,PC
121.01,121,9.9358,182.169,1.0865,-1.0865,-0.057,0.057,APC
1210.01,1210,11.1762,144.133,0.424,-0.424,-0.038,0.038,FP
1211.01,1211,9.8135,133.335,0.394,-0.394,-0.037,0.037,PC
1212.01,1212,10.4016,190.986,1.003,-1.003,-0.075,0.075,PC
1213.01,1213,10.6392,161.33,0.6765,-0.6765,-0.041,0.041,FP
1214.01,1214,10.0329,107.048,0.2525,-0.2525,-0.038,0.038,PC
1215.01,1215,10.42,34.6633,0.02245,-0.02245,-0.033,0.033,PC
1216.01,1216,11.546,99.5413,0.2875,-0.2875,-0.058,0.058,PC
1217.01,1217,9.6517,463.223,10.75,-10.75,-0.083,0.083,PC
1218.01,1218,10.3869,135.689,0.5025,-0.5025,-0.056,0.056,PC
1219.01,1219,10.1207,301.291,2.2225,-2.2225,-0.057,0.057,PC
122.01,122,13.084,62.118,0.2158,-0.2158,-0.076,0.076,CP
1220.01,1220,9.5298,273.698,2.3495,-2.3495,-0.06,0.06,APC
1221.01,1221,10.0564,138.411,0.3865,-0.3865,-0.046,0.046,CP
1222.01,1222,10.3014,226.932,1.4835,-1.4835,-0.063,0.063,PC
1223.01,1223,9.3109,237.7,2.593,-2.593,-0.08,0.08,FP
1224.01,1224,11.556,37.3312,0.06,-0.06,-0.066,0.066,CP
1224.02,1224,11.556,37.3312,0.06,-0.06,-0.066,0.066,CP
1225.01,1225,11.7582,252.615,1.313,-1.313,-0.046,0.046,PC
1225.02,1225,11.7582,252.615,1.313,-1.313,-0.046,0.046,PC
1226.01,1226,11.5514,257.93,1.18,-1.18,-0.039,0.039,PC
1227.01,1227,13.802,100.641,0.5695,-0.5695,-0.081,0.081,CP
1228.01,1228,9.0963,272.217,2.19,-2.19,-0.055,0.055,CP
1229.01,1229,10.779,254.584,,,-2.73,2.73,APC
123.01,123,7.87598,161.498,2.4235,-2.4235,-0.152,0.152,CP
1230.01,1230,9.6245,143.138,0.4455,-0.4455,-0.049,0.049,CP
1231.01,1231,10.2565,27.6227,0.0609,-0.0609,-0.186,0.186,CP
1232.01,1232,11.7835,328.604,2.3665,-2.3665,-0.046,0.046,PC
1233.01,1233,8.6522,64.5978,0.19375,-0.19375,-0.043,0.043,CP
1233.02,1233,8.6522,64.5978,0.19375,-0.19375,-0.043,0.043,CP
1233.03,1233,8.6522,64.5978,0.19375,-0.19375,-0.043,0.043,CP
1233.04,1233,8.6522,64.5978,0.19375,-0.19375,-0.043,0.043,CP
1234.01,1234,13.7991,104.912,0.4445,-0.4445,-0.063,0.063,FP
1235.01,1235,9.91924,39.6345,0.0478,-0.0478,-0.047,0.047,CP
1236.01,1236,11.0248,159.658,0.733,-0.733,-0.046,0.046,KP
1237.01,1237,10.2768,243.249,1.4055,-1.4055,-0.044,0.044,KP
1237.02,1237,10.2768,243.249,1.4055,-1.4055,-0.044,0.044,KP
1238.01,1238,11.2582,70.7145,0.12055,-0.12055,-0.053,0.053,CP
1238.02,1238,11.2582,70.7145,0.12055,-0.12055,-0.053,0.053,CP
1239.01,1239,10.7192,126.903,0.4395,-0.4395,-0.042,0.042,CP
124.01,124,11.1311,809.252,43.8985,-43.8985,-0.115,0.115,APC
1240.01,1240,13.8046,1086.24,19.16,-19.16,-0.032,0.032,KP
1241.01,1241,11.1634,546.522,24.466,-24.466,-0.154,0.154,PC
1242.01,1242,11.598,110.015,0.364,-0.364,-0.052,0.052,PC
1243.01,1243,11.1966,43.1865,0.0613,-0.0613,-0.048,0.048,PC
1244.01,1244,11.0157,102.551,0.24,-0.24,-0.047,0.047,CP
1245.01,1245,12.1819,80.0982,0.11875,-0.11875,-0.04,0.04,PC
1246.01,1246,11.1802,169.422,0.671,-0.671,-0.051,0.051,CP
1246.02,1246,11.1802,169.422,0.671,-0.671,-0.051,0.051,CP
1246.03,1246,11.1802,169.422,0.671,-0.671,-0.051,0.051,CP
1246.04,1246,11.1802,169.422,0.671,-0.671,-0.051,0.051,CP
1247.01,1247,8.4724,73.8713,0.14365,-0.14365,-0.044,0.044,CP
1248.01,1248,11.1153,168.735,0.5995,-0.5995,-0.042,0.042,CP
1249.01,1249,10.2108,139.49,0.535,-0.535,-0.042,0.042,CP
125.01,125,10.1985,111.059,0.442,-0.442,-0.08,0.08,CP
125.02,125,10.1985,111.059,0.442,-0.442,-0.08,0.08,CP
125.03,125,10.1985,111.059,0.442,-0.442,-0.08,0.08,CP
125.04,125,10.1985,111.059,0.442,-0.442,-0.08,0.08,PC
1250.01,1250,6.895,66.3631,0.14805,-0.14805,-0.07,0.07,FA
1251.01,1251,10.6479,185.952,,,-3.4,3.4,APC
1252.01,1252,12.0623,123.8346,,,-2.0,2.0,PC
1253.01,1253,9.89947,185.23,0.7705,-0.7705,-0.042,0.042,FP
1254.01,1254,10.794,199.039,1.049,-1.049,-0.052,0.052,APC
1255.01,1255,9.1416,65.9501,0.1013,-0.1013,-0.046,0.046,CP
1256.01,1256,13.5608,,,,-2.0,2.0,FP
1257.01,1257,9.87463,249.325,2.774,-2.774,-0.044,0.044,KP
1258.01,1258,9.13619,154.944,0.521,-0.521,-0.037,0.037,PC
1259.01,1259,11.1534,118.106,0.3735,-0.3735,-0.047,0.047,CP
126.01,126,12.7923,573.027,11.688,-11.688,-0.045,0.045,KP
